Age,Accessibility,EdLevel,Employment,Gender,MainBranch,YearsCode,YearsCodePro,Country,PreviousSalary,HaveWorkedWith,ComputerSkills,Employed
<35,No,Undergraduate,1,Man,Dev,8,4,United States of America,150000,Bash/Shell;Go;JavaScript;Node.js;Python;Docker;Git;React.js;Google Cloud Platform;MongoDB;PostgreSQL,11,1
>35,No,PhD,1,Man,Dev,39,35,United States of America,110000,Bash/Shell;C;Git;Puppet;SQLite,5,0
>35,No,Master,1,Man,Dev,40,21,United States of America,190000,Bash/Shell;Groovy;Java;JavaScript;Git;jQuery;Spring;Elasticsearch;MongoDB,9,1
>35,No,Undergraduate,1,Man,Dev,20,13,Switzerland,111814,C#;HTML/CSS;JavaScript;SQL;Git;Xamarin;ASP.NET;ASP.NET Core ;Microsoft Azure;Microsoft SQL Server;PostgreSQL,11,0
<35,No,Master,1,Man,Dev,5,4,United States of America,133000,Bash/Shell;JavaScript;Ruby;Flow;Git;Kubernetes;React.js;Ruby on Rails;AWS;PostgreSQL;Redis,11,0
>35,No,Undergraduate,1,Man,Dev,16,12,Netherlands,118908,Java;Git;Kubernetes;Spring;AWS;Microsoft Azure;Cassandra;DynamoDB;Firebase;Microsoft SQL Server;PostgreSQL;Redis,12,0
<35,No,Master,1,NonBinary,NotDev,12,5,United States of America,150000,Python;Rust;Docker;Git;Kubernetes;FastAPI;Flask;AWS;MongoDB;PostgreSQL,10,0
>35,No,Undergraduate,1,Man,NotDev,25,19,United States of America,125000,Bash/Shell;JavaScript;Node.js;Ruby;TypeScript;Chef;Docker;Git;AWS;Couchbase;DynamoDB;Elasticsearch;MongoDB,13,1
>35,No,Other,1,Man,Dev,14,10,India,123984,C;C#;C++;HTML/CSS;Java;JavaScript;Node.js;SQL;TypeScript;Git;ASP.NET;ASP.NET Core ;jQuery;Microsoft Azure;Microsoft SQL Server;MongoDB;MySQL,17,1
>35,No,Other,0,Man,Dev,34,25,Switzerland,152473,Bash/Shell;C#;HTML/CSS;Java;PHP;SQL;Docker;Oracle Cloud Infrastructure;MySQL;Oracle;PostgreSQL,11,1
<35,No,Undergraduate,1,Man,Dev,16,7,India,134028,Python;Git,2,0
>35,No,Undergraduate,1,Man,Dev,36,25,France,183767,Bash/Shell;C;Go;Java;Docker;Git;Kubernetes;AWS,8,0
<35,No,PhD,1,Man,Dev,12,10,United States of America,105000,Python;AWS;Microsoft Azure,3,0
>35,No,Undergraduate,1,Man,NotDev,25,5,Germany,101612,C#;Kotlin;SQL;Docker;Unity 3D;ASP.NET Core ;MariaDB;Oracle;PostgreSQL;Redis;SQLite,11,0
<35,No,Undergraduate,1,Man,Dev,15,9,United States of America,135000,Bash/Shell;Go;HTML/CSS;Java;JavaScript;Objective-C;SQL;TypeScript;Docker;Git;React.js;AWS;DynamoDB;PostgreSQL,14,1
<35,No,Undergraduate,1,Man,Dev,15,8,United States of America,200000,C#;HTML/CSS;Java;JavaScript;SQL;React.js;AWS;Microsoft SQL Server,8,1
>35,No,Undergraduate,0,Man,Dev,27,11,United States of America,180000,Kotlin;Git;Ruby on Rails;Google Cloud Platform;PostgreSQL,5,0
>35,No,Undergraduate,1,Man,Dev,30,20,United States of America,130000,C#;HTML/CSS;JavaScript;PowerShell;SQL;Angular.js;ASP.NET;jQuery;Vue.js;Microsoft Azure;Microsoft SQL Server;MySQL,12,1
>35,No,Undergraduate,1,Man,Dev,45,33,United States of America,175000,Assembly;Bash/Shell;C;C++;Dart;Groovy;HTML/CSS;Java;JavaScript;LISP;Node.js;Python;Ruby;SQL;TypeScript;Docker;Git;Yarn;Express;Gatsby;jQuery;React.js;Ruby on Rails;AWS;Elasticsearch;Firebase;MongoDB;PostgreSQL;Redis,29,1
>35,No,Other,1,Man,Dev,33,20,United States of America,110000,C#;HTML/CSS;JavaScript;Node.js;PHP;PowerShell;SQL;TypeScript;Git;ASP.NET;ASP.NET Core ;jQuery;Vue.js;AWS;Microsoft Azure;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,19,1
<35,No,Undergraduate,1,Man,Dev,18,13,United States of America,155000,C#;HTML/CSS;JavaScript;SQL;Git;ASP.NET;jQuery;Vue.js;Microsoft SQL Server,9,1
<35,No,Master,1,NonBinary,Dev,12,7,United States of America,125000,Bash/Shell;C;C++;Matlab;Python;Microsoft Azure,6,0
<35,No,Other,1,Man,Dev,10,4,United States of America,105000,Swift;Git;AWS,3,0
>35,No,Other,1,Man,Dev,35,25,United States of America,156000,Bash/Shell;C#;Delphi;HTML/CSS;JavaScript;Node.js;PowerShell;SQL;TypeScript;VBA;Ansible;Docker;Git;Kubernetes;Xamarin;Yarn;Angular;Angular.js;ASP.NET;ASP.NET Core ;Express;jQuery;AWS;Google Cloud Platform;Microsoft Azure;Elasticsearch;Microsoft SQL Server;Redis;SQLite,29,1
>35,No,Undergraduate,1,Man,Dev,21,20,Israel,155844,Bash/Shell;C;C#;C++;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Python;SQL;Docker;Git;ASP.NET;ASP.NET Core ;Express;Spring;AWS;DynamoDB;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,26,1
>35,Yes,Undergraduate,1,Man,Dev,22,15,Switzerland,126083,C#;HTML/CSS;Java;JavaScript;PHP;Git;jQuery;MariaDB;MySQL;SQLite,10,1
>35,No,Master,0,Man,Dev,42,30,France,108100,Assembly;C;C#;C++;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript;VBA;Docker;Git;ASP.NET;ASP.NET Core ;Microsoft Azure;Microsoft SQL Server;MongoDB;SQLite,19,1
>35,No,PhD,1,Man,NotDev,30,12,Belgium,103776,C++;Java;Julia;Matlab;Python;MySQL;Oracle,7,0
>35,No,Undergraduate,1,Man,Dev,20,15,United States of America,120000,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;Git;Kubernetes;Unity 3D;ASP.NET;ASP.NET Core ;jQuery;Microsoft Azure;Microsoft SQL Server;Redis;SQLite,17,1
<35,No,Undergraduate,1,Man,Dev,15,7,United States of America,125000,Bash/Shell;C;HTML/CSS;JavaScript;Python;Ruby;SQL;Docker;Git;Kubernetes;Yarn;Django;Flask;Ruby on Rails;Vue.js;Google Cloud Platform;MariaDB;MySQL;PostgreSQL;Redis;SQLite,21,0
>35,No,Master,1,Man,Dev,28,22,United Kingdom of Great Britain and Northern Ireland,116333,Bash/Shell;Go;JavaScript;Node.js;Rust;Docker;Git;Kubernetes;Express;AWS;MongoDB,11,1
>35,No,Undergraduate,1,Man,Dev,27,25,United States of America,160000,C#;HTML/CSS;JavaScript;SQL;ASP.NET Core ;jQuery;Microsoft Azure;Microsoft SQL Server;MySQL;SQLite,10,1
<35,No,PhD,1,Man,Dev,14,7,United States of America,135000,Bash/Shell;R;Git;AWS;PostgreSQL,5,0
<35,No,Undergraduate,1,Man,Dev,21,14,Poland,105300,Groovy;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Docker;Git;Terraform;React.js;AWS,11,0
<35,No,Master,0,Man,Dev,14,4,Brazil,180000,Bash/Shell;C++;Go;Perl;SQL;Docker;Git;Kubernetes;AWS;DigitalOcean;MariaDB;MongoDB;PostgreSQL,13,0
<35,No,Undergraduate,1,Man,Dev,16,15,United States of America,120000,Bash/Shell;Python;SQL;Docker;Git;Kubernetes;Flask;AWS;PostgreSQL;Redis,10,0
<35,No,Master,1,Man,Dev,13,11,United States of America,155000,Bash/Shell;Go;Groovy;Java;Python;Ansible;Docker;Git;Kubernetes;Terraform;AWS;Cassandra;Elasticsearch;PostgreSQL;Redis,15,0
<35,No,Other,0,Man,Dev,15,13,United States of America,114000,HTML/CSS;JavaScript;PHP;Git;Drupal;jQuery;React.js;MySQL,8,0
<35,No,Undergraduate,1,Man,Dev,15,5,United States of America,115000,Bash/Shell;HTML/CSS;JavaScript;Node.js;TypeScript;Docker;Git;Unity 3D;Angular;Angular.js;Express;jQuery;Vue.js;AWS;DigitalOcean;Heroku;MongoDB,17,1
>35,No,Undergraduate,0,Man,Dev,26,23,United Kingdom of Great Britain and Northern Ireland,206815,C#;Python;TypeScript;Docker;Git;Yarn;Angular;ASP.NET;ASP.NET Core ;Flask;AWS;Microsoft Azure;Microsoft SQL Server;PostgreSQL,14,1
>35,No,Undergraduate,1,Man,Dev,14,10,United States of America,200000,HTML/CSS;Java;JavaScript;Node.js;PHP;PowerShell;Python;Ruby;SQL;TypeScript;VBA;Ansible;Docker;Git;Kubernetes;Yarn;Angular.js;Django;Express;jQuery;React.js;Vue.js;AWS;Google Cloud Platform;Heroku;Microsoft Azure;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,33,1
>35,No,Undergraduate,1,Man,Dev,23,10,United States of America,142000,Bash/Shell;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Python;SQL;TypeScript;Docker;Git;Kubernetes;Angular;jQuery;Spring;Vue.js;AWS;DynamoDB;Elasticsearch;Microsoft SQL Server;MongoDB;Oracle;PostgreSQL;Redis,24,1
<35,No,Other,1,Man,Dev,10,8,United States of America,125000,HTML/CSS;JavaScript;PHP;SQL;TypeScript;Docker;Git;Angular;Angular.js;Drupal;jQuery;Laravel;Microsoft Azure;Microsoft SQL Server;MySQL;Oracle;SQLite,17,1
>35,No,Master,1,Man,Dev,30,12,United States of America,175000,Elixir;Node.js;Python;Docker;Git;Terraform;Express;Laravel;AWS;Heroku;DynamoDB;MariaDB;MongoDB;MySQL;PostgreSQL,15,0
>35,No,PhD,0,Man,NotDev,35,19,United States of America,110000,Bash/Shell;Python,2,0
>35,No,Undergraduate,1,Man,Dev,22,12,United States of America,126000,C#;Git;Microsoft SQL Server,3,0
>35,No,Master,0,Man,Dev,30,25,Netherlands,172957,HTML/CSS;Java;JavaScript;Node.js;Rust;TypeScript;Docker;Git;Angular;Express;Spring;Google Cloud Platform;Firebase;Oracle,14,1
>35,No,Other,1,Man,NotDev,31,18,United States of America,175000,Bash/Shell;C#;Go;HTML/CSS;Java;JavaScript;Node.js;Ruby;SQL;TypeScript;Chef;Git;Terraform;Unity 3D;Angular.js;ASP.NET Core ;jQuery;Vue.js;AWS;DigitalOcean;Google Cloud Platform;Microsoft Azure;DynamoDB;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,30,1
>35,No,Master,1,Man,Dev,10,10,Israel,175112,C++;Java;Kotlin;Objective-C;Python;Swift;Git,7,0
<35,No,Undergraduate,1,Man,Dev,20,9,United States of America,190000,Bash/Shell;C;C++;Elixir;Erlang;HTML/CSS;JavaScript;Node.js;Python;Rust;SQL;TypeScript;Docker;Git;Kubernetes;Terraform;Express;Gatsby;React.js;Vue.js;AWS;Google Cloud Platform;Elasticsearch;Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,31,1
>35,No,Undergraduate,1,Man,Dev,42,37,United States of America,220000,C#;HTML/CSS;JavaScript;SQL;TypeScript;Git;Angular;Angular.js;jQuery;Microsoft Azure;Microsoft SQL Server;SQLite,12,1
>35,No,Master,1,Man,Dev,30,30,United States of America,153000,Bash/Shell;C#;C++;Delphi;HTML/CSS;Java;JavaScript;Node.js;Objective-C;PHP;PowerShell;Python;SQL;TypeScript;VBA;Git;Angular;ASP.NET;ASP.NET Core ;Microsoft SQL Server;MySQL;SQLite,22,1
>35,No,Master,0,Man,NotDev,40,27,Netherlands,129718,C;Java;PHP;Python;Docker;Git;MySQL;Redis,8,0
>35,No,Other,1,Woman,Dev,30,20,United States of America,215000,Bash/Shell;C;C++;Clojure;Java;JavaScript;PowerShell;Python;Ruby;Git;Flask;jQuery;React.js;AWS;DynamoDB;Elasticsearch,16,1
>35,No,Other,1,Man,Dev,15,10,United States of America,200000,Bash/Shell;C#;Go;HTML/CSS;JavaScript;Node.js;Python;SQL;Ansible;Docker;Kubernetes;Terraform;Yarn;ASP.NET;React.js;AWS;Google Cloud Platform;Microsoft Azure;DynamoDB;Microsoft SQL Server;MySQL,21,1
>35,No,Undergraduate,1,Man,Dev,23,15,United States of America,203000,Scala;TypeScript;Docker;Git;Kubernetes;Terraform;Google Cloud Platform;MySQL,8,0
>35,No,Undergraduate,0,Man,Dev,20,16,United States of America,150000,HTML/CSS;JavaScript;Ruby;Rust;SQL;TypeScript;Docker;Git;Yarn;React.js;Ruby on Rails;AWS;Heroku;PostgreSQL;Redis,15,0
<35,No,Master,1,Man,Dev,17,8,Israel,175116,Assembly;C;Python;Microsoft Azure,4,0
<35,No,Undergraduate,1,Man,Dev,10,8,United States of America,110000,Bash/Shell;Java;Python;Scala;SQL;VBA;Docker;Git;AWS;Google Cloud Platform;MongoDB;MySQL;Oracle;Redis,14,1
<35,No,Master,1,Man,Dev,20,5,United States of America,200000,JavaScript;Python;Git;Django;FastAPI;Heroku;PostgreSQL,7,0
<35,No,Other,1,Man,Dev,8,4,United States of America,144000,HTML/CSS;JavaScript;Node.js;Python;Ruby;TypeScript;Git;Yarn;Express;Flask;React.js;Ruby on Rails;AWS;DynamoDB;Elasticsearch;PostgreSQL,16,0
>35,No,Other,1,Man,Dev,20,15,United Kingdom of Great Britain and Northern Ireland,103408,JavaScript;Docker;React.js,3,0
>35,No,Undergraduate,1,Man,NotDev,47,40,United States of America,200000,Bash/Shell;C;C++;Perl,4,0
>35,No,Master,1,Man,Dev,22,15,Germany,175119,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;Node.js;SQL;Docker;Git;Spring;AWS;Microsoft SQL Server;PostgreSQL,13,1
>35,No,Master,1,Man,NotDev,35,30,United Kingdom of Great Britain and Northern Ireland,193889,Java;PHP;R;Git;AWS;MySQL,6,0
<35,No,Master,1,Man,Dev,5,4,United States of America,166000,Bash/Shell;Python;SQL;Docker;Kubernetes;AWS;DynamoDB;PostgreSQL;Redis,9,0
<35,No,Undergraduate,1,Man,Dev,17,13,United States of America,220000,Java;Python;Docker;Git;PostgreSQL,5,0
<35,No,Master,1,Man,Dev,10,7,United States of America,160000,Bash/Shell;JavaScript;Node.js;Python;R;SQL;TypeScript;Docker;Git;Kubernetes;Flask;React.js;AWS;Oracle Cloud Infrastructure;MySQL;Oracle;PostgreSQL,17,1
>35,No,Other,1,Man,Dev,20,8,United States of America,200000,C#;HTML/CSS;JavaScript;Node.js;SQL;TypeScript;Docker;Git;Kubernetes;ASP.NET Core ;Express;jQuery;Vue.js;AWS;Microsoft Azure;Microsoft SQL Server,16,1
>35,No,Undergraduate,1,Man,Dev,28,25,United States of America,120000,HTML/CSS;Java;JavaScript;SQL;TypeScript;Docker;Git;React.js;AWS;PostgreSQL,10,0
>35,No,PhD,1,Man,NotDev,42,25,United States of America,160000,Bash/Shell;HTML/CSS;Java;Python;R;SQL;Docker;jQuery;Spring;MySQL,10,1
>35,No,Undergraduate,1,Man,Dev,25,16,United States of America,105000,Bash/Shell;C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript;Docker;Git;Kubernetes;Yarn;Angular;Angular.js;ASP.NET;ASP.NET Core ;Django;Drupal;Express;jQuery;Laravel;React.js;Symfony;Vue.js;AWS;Microsoft Azure;Elasticsearch;Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,36,1
<35,No,Master,1,Man,Dev,10,8,United States of America,106000,Java;JavaScript;Node.js;Python;SQL;Git;jQuery;React.js;Spring;MariaDB;Oracle,11,1
>35,No,Undergraduate,1,Man,Dev,9,7,United States of America,125000,Bash/Shell;C;Clojure;Groovy;HTML/CSS;JavaScript;Node.js;Python;Rust;SQL;TypeScript;Ansible;Git;Express;Flask;React.js;AWS;PostgreSQL,18,1
>35,No,Master,1,Man,NotDev,20,15,United States of America,200000,Bash/Shell;C;C++;Matlab;Python;Git,6,0
>35,No,Master,1,Man,Dev,20,12,Germany,108098,C++;Crystal;Java;JavaScript;Node.js;Rust;Ansible;Docker;Git;Terraform;Express;AWS;Redis,13,0
<35,No,Master,1,Man,Dev,8,8,"Iran, Islamic Republic of...",142501,C;HTML/CSS;JavaScript;Matlab;Node.js;PHP;PowerShell;SQL;TypeScript;Docker;Git;Yarn;Angular;Express;jQuery;Laravel;React.js;Vue.js;Firebase;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,25,1
<35,No,Master,1,Man,NotDev,10,6,United Kingdom of Great Britain and Northern Ireland,129259,C++;Python;R;SQL;VBA;Git;AWS;Google Cloud Platform;Oracle,9,0
<35,No,Other,1,Man,Dev,14,10,United States of America,129600,Assembly;Bash/Shell;C#;Groovy;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Python;Ruby;SQL;Ansible;Docker;Git;Express;React.js;Ruby on Rails;Microsoft Azure;Elasticsearch;Microsoft SQL Server;MySQL;PostgreSQL,23,1
>35,No,Undergraduate,1,Man,Dev,40,25,United States of America,116000,Bash/Shell;C++;Java;Docker;Git,5,0
<35,No,Undergraduate,1,Woman,Dev,6,6,United States of America,104000,Bash/Shell;JavaScript;PHP;Python;TypeScript;Git;Kubernetes;Terraform;FastAPI;Flask;React.js;AWS;DynamoDB;MySQL;Redis,15,0
<35,No,Master,1,Man,Dev,15,4,United Kingdom of Great Britain and Northern Ireland,118919,Bash/Shell;Java;Python;Rust;Docker;Git;Kubernetes;Terraform;Yarn;Django;AWS;Google Cloud Platform;PostgreSQL,13,0
<35,No,Other,0,Man,Dev,12,10,United Kingdom of Great Britain and Northern Ireland,155111,JavaScript;Node.js;React.js;SQLite,4,0
>35,No,Other,1,Man,Dev,41,35,United States of America,160000,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;Git;Xamarin;Angular;ASP.NET;ASP.NET Core ;jQuery;Microsoft Azure;Microsoft SQL Server;SQLite,15,1
>35,No,Undergraduate,1,Man,Dev,35,20,United States of America,144000,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript;Docker;Git;Kubernetes;Xamarin;Angular.js;ASP.NET;ASP.NET Core ;Flask;jQuery;React.js;AWS;Microsoft Azure;Microsoft SQL Server;MySQL;Oracle,24,1
<35,No,Master,1,Man,Dev,15,10,India,111694,Java;Python;Scala;Git;Kubernetes;Django;Spring;AWS;MongoDB;PostgreSQL,10,0
>35,No,Undergraduate,1,Man,Dev,30,26,United States of America,150000,Java;Kotlin;Objective-C;SQL;Docker;Git;AWS;Google Cloud Platform;Firebase;MySQL;Oracle;PostgreSQL;SQLite,13,0
>35,No,Undergraduate,1,NonBinary,Dev,37,23,United States of America,150000,C;C#;C++;HTML/CSS;Java;PHP;PowerShell;Rust;SQL;Docker;Git;ASP.NET;Spring;MariaDB;Microsoft SQL Server;PostgreSQL,16,1
>35,No,Undergraduate,1,Man,Dev,13,11,United States of America,105000,C#;HTML/CSS;JavaScript;SQL;Git;ASP.NET;ASP.NET Core ;Microsoft SQL Server,8,0
>35,No,Undergraduate,1,Man,Dev,20,12,United Kingdom of Great Britain and Northern Ireland,134430,Elixir;Erlang;Git;Terraform;AWS,5,0
<35,No,NoHigherEd,0,Man,Dev,8,4,Germany,172950,Go;HTML/CSS;JavaScript;Node.js;PHP;Python;SQL;TypeScript;Docker;Kubernetes;React.js;DigitalOcean;Google Cloud Platform;MongoDB;MySQL;PostgreSQL;Redis,17,1
<35,No,Master,1,NonBinary,Dev,16,8,United States of America,150000,C#;Java;JavaScript;SQL;TypeScript;Docker;Git;Terraform;Yarn;ASP.NET;ASP.NET Core ;Spring;Microsoft Azure;Microsoft SQL Server;Redis,15,1
